Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec),Training Subjects
Decision Tree Regressor,0.837,2.4784,1.5611,0.4989,0.5202,0.3289,3.379,"(3, 9, 16)"
Decision Tree Regressor,1.0536,3.6257,1.8829,0.3481,0.5916,0.3968,3.39,"(3, 9, 17)"
Decision Tree Regressor,1.031,3.6332,1.8993,0.4079,0.5834,0.3994,3.4,"(3, 10, 12)"
Decision Tree Regressor,0.9009,2.7438,1.647,0.5148,0.5517,0.3447,3.391,"(3, 10, 13)"
Decision Tree Regressor,1.0384,3.5457,1.8671,0.3981,0.5995,0.3461,3.397,"(3, 10, 15)"
Decision Tree Regressor,0.8962,2.7304,1.6404,0.51,0.5352,0.3467,3.378,"(3, 10, 16)"
Decision Tree Regressor,1.078,3.7551,1.931,0.3666,0.5974,0.3986,3.372,"(3, 10, 17)"
Decision Tree Regressor,0.874,2.7552,1.6503,0.4794,0.5409,0.3263,3.363,"(3, 12, 13)"
Decision Tree Regressor,0.9714,3.4551,1.8308,0.3775,0.5905,0.3566,3.357,"(3, 12, 15)"
Decision Tree Regressor,0.9888,3.2048,1.7794,0.3953,0.5782,0.3998,3.388,"(3, 12, 16)"
Decision Tree Regressor,0.9044,2.9525,1.7131,0.508,0.5462,0.343,3.383,"(3, 12, 17)"
Decision Tree Regressor,1.0329,3.555,1.8762,0.2899,0.6,0.383,3.362,"(3, 13, 15)"
Decision Tree Regressor,0.8773,2.7427,1.6475,0.4245,0.5468,0.3589,3.406,"(3, 13, 16)"
Decision Tree Regressor,0.8362,2.4718,1.5535,0.5208,0.5328,0.341,3.361,"(3, 13, 17)"
Decision Tree Regressor,0.9627,3.1347,1.761,0.3906,0.5724,0.3684,3.491,"(3, 15, 16)"
Decision Tree Regressor,0.8949,2.6914,1.6329,0.5172,0.5444,0.3114,3.385,"(3, 15, 17)"
Decision Tree Regressor,0.8543,2.7174,1.64,0.4852,0.5275,0.3356,3.396,"(3, 16, 17)"
Decision Tree Regressor,0.9558,3.1428,1.763,0.4515,0.5592,0.3294,3.386,"(4, 5, 6)"
Decision Tree Regressor,1.0723,3.659,1.9076,0.397,0.5712,0.3476,3.372,"(4, 5, 8)"
Decision Tree Regressor,1.095,3.8412,1.946,0.355,0.5749,0.3579,3.353,"(4, 5, 9)"
Decision Tree Regressor,1.1496,4.0229,1.9873,0.3788,0.5933,0.3783,3.356,"(4, 5, 10)"
Decision Tree Regressor,1.0801,3.6712,1.9001,0.4232,0.5722,0.3761,3.384,"(4, 5, 12)"
Decision Tree Regressor,0.9592,3.255,1.7926,0.4431,0.5593,0.3485,3.364,"(4, 5, 13)"
Decision Tree Regressor,0.961,3.118,1.757,0.4925,0.5389,0.306,3.37,"(4, 5, 15)"
Decision Tree Regressor,0.9347,2.882,1.6825,0.5031,0.5342,0.3214,3.366,"(4, 5, 16)"
Decision Tree Regressor,0.9436,3.1535,1.7562,0.5215,0.5375,0.2909,3.382,"(4, 5, 17)"
Decision Tree Regressor,0.9605,3.1797,1.762,0.4674,0.5462,0.3497,3.393,"(4, 6, 8)"
Decision Tree Regressor,0.9379,2.9626,1.7139,0.4541,0.536,0.3514,3.364,"(4, 6, 9)"
Decision Tree Regressor,0.9474,3.328,1.7899,0.4463,0.5364,0.3393,3.371,"(4, 6, 10)"
Decision Tree Regressor,0.9113,2.9079,1.698,0.5153,0.5363,0.3257,3.359,"(4, 6, 12)"
Decision Tree Regressor,0.8208,2.327,1.519,0.5637,0.514,0.3333,3.35,"(4, 6, 13)"
Decision Tree Regressor,0.9447,3.0952,1.7337,0.4596,0.5381,0.3476,3.368,"(4, 6, 15)"
Decision Tree Regressor,0.8335,2.4859,1.5632,0.5472,0.5125,0.3164,3.367,"(4, 6, 16)"
Decision Tree Regressor,0.9313,3.0365,1.7323,0.4929,0.5372,0.3525,3.354,"(4, 6, 17)"
Decision Tree Regressor,1.0317,3.677,1.9057,0.377,0.5879,0.3404,3.361,"(4, 8, 9)"
Decision Tree Regressor,1.0195,3.8842,1.9539,0.4177,0.5862,0.337,3.369,"(4, 8, 10)"
Decision Tree Regressor,1.3168,4.8973,2.2014,0.2693,0.6592,0.485,3.321,"(4, 8, 12)"
Decision Tree Regressor,0.8084,2.6308,1.6145,0.5605,0.513,0.3108,3.378,"(4, 8, 13)"
Decision Tree Regressor,1.1512,3.9895,1.9917,0.362,0.6164,0.4192,3.379,"(4, 8, 15)"
Decision Tree Regressor,0.7961,2.3307,1.5203,0.6143,0.4687,0.2907,3.409,"(4, 8, 16)"
Decision Tree Regressor,0.9076,3.0334,1.7316,0.5384,0.532,0.305,3.393,"(4, 8, 17)"
Decision Tree Regressor,1.1782,4.2808,2.061,0.3421,0.6185,0.4068,3.39,"(4, 9, 10)"
Decision Tree Regressor,1.166,4.5106,2.1118,0.2626,0.6223,0.426,3.378,"(4, 9, 12)"
Decision Tree Regressor,0.9868,3.1721,1.7639,0.4436,0.5662,0.4087,3.404,"(4, 9, 13)"
Decision Tree Regressor,0.876,2.996,1.7043,0.4896,0.5179,0.2865,3.379,"(4, 9, 15)"
Decision Tree Regressor,0.891,2.789,1.648,0.5069,0.5275,0.3365,3.391,"(4, 9, 16)"
Decision Tree Regressor,0.9937,3.345,1.8212,0.4581,0.5621,0.3449,3.367,"(4, 9, 17)"
Decision Tree Regressor,1.1973,4.552,2.1242,0.345,0.6327,0.3954,3.401,"(4, 10, 12)"
Decision Tree Regressor,1.0868,3.981,1.9821,0.3646,0.6098,0.3831,3.354,"(4, 10, 13)"
Decision Tree Regressor,1.0928,3.8351,1.9392,0.4236,0.6002,0.3761,3.366,"(4, 10, 15)"
Decision Tree Regressor,1.011,3.5807,1.8708,0.4438,0.5464,0.3407,3.367,"(4, 10, 16)"
Decision Tree Regressor,0.9732,3.4392,1.8444,0.4884,0.57,0.3312,3.385,"(4, 10, 17)"
Decision Tree Regressor,1.0057,3.4621,1.8457,0.4496,0.5898,0.3683,3.386,"(4, 12, 13)"
Decision Tree Regressor,1.0889,3.8581,1.9494,0.4176,0.6035,0.4174,3.366,"(4, 12, 15)"
Decision Tree Regressor,1.2364,4.5624,2.132,0.2792,0.6232,0.4819,3.362,"(4, 12, 16)"
Decision Tree Regressor,0.923,3.2541,1.7907,0.5206,0.5307,0.3157,3.396,"(4, 12, 17)"
Decision Tree Regressor,1.0309,3.4973,1.8515,0.389,0.5796,0.3619,3.386,"(4, 13, 15)"
Decision Tree Regressor,0.8476,2.4912,1.5655,0.5638,0.5118,0.3649,3.429,"(4, 13, 16)"
Decision Tree Regressor,0.9074,3.0886,1.738,0.5019,0.5366,0.3323,3.388,"(4, 13, 17)"
Decision Tree Regressor,1.1768,3.8829,1.9633,0.3448,0.6013,0.434,3.366,"(4, 15, 16)"
Decision Tree Regressor,1.109,3.9381,1.9798,0.384,0.604,0.4139,3.392,"(4, 15, 17)"
Decision Tree Regressor,0.9897,3.2414,1.7737,0.4792,0.554,0.3423,3.388,"(4, 16, 17)"
Decision Tree Regressor,0.9491,2.9202,1.6969,0.4951,0.5231,0.3419,3.348,"(5, 6, 8)"
Decision Tree Regressor,0.9132,2.6847,1.6272,0.5115,0.5197,0.3418,3.38,"(5, 6, 9)"
Decision Tree Regressor,1.2148,4.2196,2.041,0.2917,0.6159,0.4179,3.391,"(5, 6, 10)"
Decision Tree Regressor,0.9439,3.1702,1.7662,0.4514,0.5275,0.3184,3.379,"(5, 6, 12)"
Decision Tree Regressor,0.9019,2.7487,1.6438,0.4633,0.5404,0.3443,3.37,"(5, 6, 13)"
Decision Tree Regressor,1.0599,3.3633,1.8144,0.3916,0.5915,0.3801,3.371,"(5, 6, 15)"
Decision Tree Regressor,0.9772,2.8734,1.6848,0.4701,0.5627,0.368,3.374,"(5, 6, 16)"
Decision Tree Regressor,0.9835,3.1555,1.7606,0.4654,0.5473,0.3191,3.361,"(5, 6, 17)"
Decision Tree Regressor,1.1517,4.072,2.009,0.3001,0.5844,0.4025,3.385,"(5, 8, 9)"
Decision Tree Regressor,1.1808,4.2799,2.052,0.3349,0.6015,0.3847,3.388,"(5, 8, 10)"
Decision Tree Regressor,1.1248,3.7652,1.933,0.4037,0.5825,0.4096,3.382,"(5, 8, 12)"
Decision Tree Regressor,1.0654,3.8694,1.9498,0.3307,0.5849,0.377,3.371,"(5, 8, 13)"
Decision Tree Regressor,1.1704,3.9677,1.9852,0.338,0.6078,0.3805,3.361,"(5, 8, 15)"
Decision Tree Regressor,1.1116,3.7955,1.937,0.3699,0.5952,0.3788,3.595,"(5, 8, 16)"
Decision Tree Regressor,1.024,3.5933,1.8894,0.4057,0.5732,0.3487,3.375,"(5, 8, 17)"
Decision Tree Regressor,1.2124,4.3418,2.0741,0.3136,0.6213,0.3996,3.38,"(5, 9, 10)"
Decision Tree Regressor,1.0007,3.3889,1.8257,0.4372,0.5579,0.3491,3.37,"(5, 9, 12)"
Decision Tree Regressor,0.9614,3.1636,1.7537,0.4379,0.5466,0.3441,3.39,"(5, 9, 13)"
Decision Tree Regressor,1.0457,3.4161,1.841,0.4015,0.5632,0.3524,3.376,"(5, 9, 15)"
Decision Tree Regressor,0.9366,2.9718,1.7163,0.4693,0.5478,0.3149,3.407,"(5, 9, 16)"
Decision Tree Regressor,1.0468,3.5117,1.8619,0.4304,0.579,0.3562,3.368,"(5, 9, 17)"
Decision Tree Regressor,1.3882,5.2572,2.2749,0.233,0.6769,0.4835,3.383,"(5, 10, 12)"
Decision Tree Regressor,1.2346,4.5945,2.1408,0.2469,0.6202,0.4358,3.376,"(5, 10, 13)"
Decision Tree Regressor,1.1619,4.1651,2.0303,0.3578,0.5983,0.3544,3.373,"(5, 10, 15)"
Decision Tree Regressor,1.2112,4.2597,2.0562,0.3339,0.6178,0.4252,3.421,"(5, 10, 16)"
Decision Tree Regressor,1.0209,3.354,1.8181,0.5029,0.577,0.3336,3.467,"(5, 10, 17)"
Decision Tree Regressor,1.0291,3.3816,1.8264,0.4344,0.5667,0.3791,3.469,"(5, 12, 13)"
Decision Tree Regressor,1.2,4.315,2.0652,0.3062,0.6271,0.4228,3.516,"(5, 12, 15)"
Decision Tree Regressor,1.1008,3.6912,1.8945,0.3801,0.5853,0.3948,3.404,"(5, 12, 16)"
Decision Tree Regressor,1.0595,3.7425,1.9215,0.4317,0.5681,0.3871,3.408,"(5, 12, 17)"
Decision Tree Regressor,0.9734,2.9238,1.703,0.4827,0.5491,0.3551,3.423,"(5, 13, 15)"
Decision Tree Regressor,0.8901,2.6937,1.6292,0.4998,0.4997,0.3458,3.422,"(5, 13, 16)"
Decision Tree Regressor,0.9238,3.0095,1.7221,0.5036,0.542,0.3262,3.408,"(5, 13, 17)"
Decision Tree Regressor,1.1043,3.6685,1.9034,0.3813,0.6047,0.3714,3.421,"(5, 15, 16)"
Decision Tree Regressor,1.0136,3.4669,1.8416,0.4562,0.5691,0.3297,3.411,"(5, 15, 17)"
Decision Tree Regressor,1.0652,3.7424,1.917,0.4053,0.5793,0.3725,3.405,"(5, 16, 17)"
Decision Tree Regressor,0.922,2.6991,1.6369,0.4856,0.5365,0.3523,3.458,"(6, 8, 9)"
Decision Tree Regressor,0.8975,2.775,1.657,0.5311,0.5208,0.3176,3.411,"(6, 8, 10)"
Decision Tree Regressor,0.9409,2.7078,1.6395,0.5327,0.5283,0.3645,3.47,"(6, 8, 12)"
Decision Tree Regressor,0.8465,2.6175,1.61,0.5199,0.5166,0.3243,3.403,"(6, 8, 13)"
Decision Tree Regressor,0.9682,2.9538,1.7091,0.458,0.5442,0.3451,3.414,"(6, 8, 15)"
Decision Tree Regressor,0.841,2.4805,1.5666,0.5512,0.5221,0.3112,3.396,"(6, 8, 16)"
Decision Tree Regressor,0.8641,2.7097,1.6361,0.5421,0.51,0.3169,3.386,"(6, 8, 17)"
Decision Tree Regressor,0.9113,2.9365,1.707,0.4879,0.5289,0.3224,3.417,"(6, 9, 10)"
Decision Tree Regressor,0.8617,2.3819,1.5378,0.5508,0.5034,0.3516,3.391,"(6, 9, 12)"
Decision Tree Regressor,0.7456,2.1002,1.4347,0.575,0.4761,0.3044,3.407,"(6, 9, 13)"
Decision Tree Regressor,0.9073,2.8948,1.6914,0.4498,0.5353,0.3357,3.408,"(6, 9, 15)"
Decision Tree Regressor,0.8792,2.7902,1.6611,0.4456,0.5321,0.3309,3.42,"(6, 9, 16)"
Decision Tree Regressor,0.9247,2.8592,1.6797,0.4921,0.5459,0.3395,3.409,"(6, 9, 17)"
Decision Tree Regressor,1.1019,3.8246,1.9348,0.3742,0.5994,0.3907,3.4,"(6, 10, 12)"
Decision Tree Regressor,0.7423,2.1896,1.472,0.6104,0.4877,0.2755,3.415,"(6, 10, 13)"
Decision Tree Regressor,0.8591,2.6994,1.6329,0.5435,0.5264,0.2959,3.868,"(6, 10, 15)"
Decision Tree Regressor,0.9606,3.1656,1.7712,0.4485,0.5557,0.358,3.371,"(6, 10, 16)"
Decision Tree Regressor,1.0157,3.3899,1.8294,0.4657,0.5755,0.394,3.39,"(6, 10, 17)"
Decision Tree Regressor,0.9259,2.9704,1.7101,0.4711,0.5362,0.378,3.384,"(6, 12, 13)"
Decision Tree Regressor,0.9455,2.9696,1.7094,0.4791,0.566,0.3802,3.419,"(6, 12, 15)"
Decision Tree Regressor,0.802,2.3624,1.5312,0.5683,0.5046,0.3194,3.435,"(6, 12, 16)"
Decision Tree Regressor,0.9531,2.9786,1.7207,0.4987,0.5489,0.3516,3.401,"(6, 12, 17)"
Decision Tree Regressor,0.868,2.5602,1.5828,0.5061,0.5307,0.3382,3.404,"(6, 13, 15)"
Decision Tree Regressor,0.7536,2.2294,1.4783,0.5471,0.4864,0.3312,3.419,"(6, 13, 16)"
Decision Tree Regressor,0.8914,2.8157,1.6721,0.4916,0.5308,0.3591,3.404,"(6, 13, 17)"
Decision Tree Regressor,0.9637,3.1824,1.7415,0.395,0.5552,0.3877,3.4,"(6, 15, 16)"
Decision Tree Regressor,0.7795,2.3331,1.5069,0.6024,0.4885,0.2981,3.406,"(6, 15, 17)"
Decision Tree Regressor,1.2033,4.0859,2.0122,0.2659,0.6315,0.4925,3.425,"(6, 16, 17)"
Decision Tree Regressor,1.1955,4.227,2.0359,0.3135,0.6024,0.4234,3.395,"(8, 9, 10)"
Decision Tree Regressor,0.8844,2.6381,1.6123,0.5672,0.5141,0.3379,3.396,"(8, 9, 12)"
Decision Tree Regressor,0.8461,2.4812,1.5595,0.5644,0.5171,0.3284,3.406,"(8, 9, 13)"
Decision Tree Regressor,0.9263,2.9993,1.7244,0.4958,0.5473,0.3256,3.425,"(8, 9, 15)"
Decision Tree Regressor,1.1421,3.7647,1.9258,0.3385,0.625,0.4164,3.503,"(8, 9, 16)"
Decision Tree Regressor,0.9734,3.2496,1.7882,0.4756,0.5562,0.3395,3.429,"(8, 9, 17)"
Decision Tree Regressor,1.0113,3.5123,1.8557,0.48,0.5589,0.3837,3.403,"(8, 10, 12)"
Decision Tree Regressor,0.768,2.4093,1.5323,0.6085,0.4891,0.2784,3.379,"(8, 10, 13)"
Decision Tree Regressor,1.0241,3.4893,1.8259,0.4613,0.5564,0.3323,3.403,"(8, 10, 15)"
Decision Tree Regressor,0.832,2.5396,1.5807,0.6028,0.52,0.3,3.423,"(8, 10, 16)"
Decision Tree Regressor,1.0179,3.4576,1.8357,0.4843,0.5752,0.3344,3.412,"(8, 10, 17)"
Decision Tree Regressor,0.9053,2.7787,1.6573,0.5315,0.5184,0.3714,3.4,"(8, 12, 13)"
Decision Tree Regressor,1.0962,3.7975,1.9355,0.4036,0.5896,0.3908,3.408,"(8, 12, 15)"
Decision Tree Regressor,1.299,4.5699,2.124,0.2667,0.6493,0.4964,3.452,"(8, 12, 16)"
Decision Tree Regressor,1.0424,3.6922,1.9034,0.4277,0.5774,0.3639,3.4,"(8, 12, 17)"
Decision Tree Regressor,1.0212,3.4952,1.8609,0.3908,0.5752,0.3696,3.408,"(8, 13, 15)"
Decision Tree Regressor,1.0885,3.2515,1.7932,0.4372,0.577,0.4346,3.403,"(8, 13, 16)"
Decision Tree Regressor,0.7915,2.3907,1.5385,0.6207,0.4993,0.3201,3.443,"(8, 13, 17)"
Decision Tree Regressor,1.2281,4.3545,2.0795,0.2547,0.6681,0.4182,3.416,"(8, 15, 16)"
Decision Tree Regressor,1.2979,4.6146,2.1376,0.2723,0.6475,0.4644,3.422,"(8, 15, 17)"
Decision Tree Regressor,0.9704,3.2799,1.8075,0.4574,0.5595,0.3313,3.445,"(8, 16, 17)"
Decision Tree Regressor,0.9761,3.3327,1.8064,0.4915,0.5498,0.3439,3.5,"(9, 10, 12)"
Decision Tree Regressor,0.8693,2.8714,1.687,0.5077,0.5303,0.3331,3.407,"(9, 10, 13)"
Decision Tree Regressor,0.9415,3.2994,1.8021,0.4689,0.5488,0.3243,3.379,"(9, 10, 15)"
Decision Tree Regressor,1.0973,3.6489,1.9011,0.3896,0.5946,0.4124,3.391,"(9, 10, 16)"
Decision Tree Regressor,1.163,4.1865,2.0293,0.3464,0.6068,0.4177,3.393,"(9, 10, 17)"
Decision Tree Regressor,0.9172,3.1533,1.7683,0.4333,0.5524,0.3435,3.388,"(9, 12, 13)"
Decision Tree Regressor,1.0295,3.5442,1.867,0.413,0.5825,0.3917,3.412,"(9, 12, 15)"
Decision Tree Regressor,0.9256,3.0645,1.7437,0.4818,0.5472,0.3521,3.414,"(9, 12, 16)"
Decision Tree Regressor,1.0382,3.4039,1.832,0.4763,0.5731,0.3949,3.386,"(9, 12, 17)"
Decision Tree Regressor,0.7581,2.2863,1.5014,0.5838,0.4954,0.3078,3.419,"(9, 13, 15)"
Decision Tree Regressor,0.8419,2.6762,1.6181,0.4811,0.5135,0.3159,3.392,"(9, 13, 16)"
Decision Tree Regressor,0.8535,2.5911,1.6016,0.5444,0.5036,0.3349,3.424,"(9, 13, 17)"
Decision Tree Regressor,0.8468,2.5871,1.6034,0.5465,0.4963,0.3223,3.439,"(9, 15, 16)"
Decision Tree Regressor,0.9404,3.1668,1.7735,0.4526,0.5656,0.3298,3.435,"(9, 15, 17)"
Decision Tree Regressor,1.0228,3.4006,1.8193,0.3983,0.5799,0.4013,3.432,"(9, 16, 17)"
Decision Tree Regressor,0.9117,2.9631,1.7045,0.5436,0.5316,0.3484,3.425,"(10, 12, 13)"
Decision Tree Regressor,1.0449,3.5732,1.886,0.4627,0.5652,0.3819,3.43,"(10, 12, 15)"
Decision Tree Regressor,1.0625,3.6949,1.9025,0.4305,0.5764,0.4029,3.436,"(10, 12, 16)"
Decision Tree Regressor,1.2982,4.9696,2.2173,0.2818,0.6627,0.4339,3.449,"(10, 12, 17)"
Decision Tree Regressor,0.8051,2.311,1.5051,0.6312,0.4858,0.3236,3.429,"(10, 13, 15)"
Decision Tree Regressor,0.9193,2.8708,1.6656,0.5228,0.5427,0.3488,3.427,"(10, 13, 16)"
Decision Tree Regressor,0.9701,3.4056,1.8142,0.4781,0.5481,0.365,3.383,"(10, 13, 17)"
Decision Tree Regressor,1.1269,4.1328,2.0101,0.3457,0.6026,0.4109,3.564,"(10, 15, 16)"
Decision Tree Regressor,1.1658,4.428,2.0939,0.3461,0.6096,0.384,3.443,"(10, 15, 17)"
Decision Tree Regressor,1.2876,5.0155,2.2316,0.2269,0.6441,0.4506,3.412,"(10, 16, 17)"
Decision Tree Regressor,0.9589,3.1591,1.7635,0.462,0.5708,0.3647,3.407,"(12, 13, 15)"
Decision Tree Regressor,0.8975,2.7567,1.6428,0.528,0.5352,0.3681,3.398,"(12, 13, 16)"
Decision Tree Regressor,0.919,2.8912,1.6975,0.5302,0.5457,0.3606,3.397,"(12, 13, 17)"
Decision Tree Regressor,1.0367,3.4636,1.8484,0.4263,0.5925,0.3797,3.412,"(12, 15, 16)"
Decision Tree Regressor,1.0691,3.8349,1.9409,0.4471,0.597,0.3872,3.405,"(12, 15, 17)"
Decision Tree Regressor,1.0589,3.5027,1.8621,0.4553,0.5978,0.4041,3.412,"(12, 16, 17)"
Decision Tree Regressor,1.1672,3.8862,1.9675,0.3088,0.611,0.4646,3.395,"(13, 15, 16)"
Decision Tree Regressor,0.9102,3.1726,1.7698,0.4668,0.5398,0.3551,3.402,"(13, 15, 17)"
Decision Tree Regressor,1.1237,3.7115,1.9208,0.3439,0.6086,0.423,3.413,"(13, 16, 17)"
Decision Tree Regressor,0.9591,2.868,1.6818,0.5252,0.5522,0.359,3.399,"(15, 16, 17)"
